Nº DE CONTROLE,PEDIDO,OS,FABRICANTE ,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,ESTOQUE,ATENDER PEDIDO,ALERTA
1,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
2,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
3,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
4,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
5,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
6,,SEM OS,SAMSUNG,ENCERRADO,DANIFICADO - Painel K71v (07~12) PC1NUSMAN,998026,,,,CONVERTIDO,DANIFICADOS,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
7,285384N,SEM OS,ELECTROLUX,ENCERRADO,(001) 001040 - Evap. BI09F - Techno Inverter - FRIO - Electrolux,998212,9000,,,CONVERTIDO,DANIFICADOS,,CONVERTIDO NA EPOCA DA ADRIANA, REFERENTE AO PEDIDO 285384N
8,261186N,SEM OS,MIDEA,ENCERRADO,(004) 004363 - Evap. K7 40KVCA48C5 - Carrier,998215,48000,,,CONVERTIDO,DANIFICADOS,,CONVERTIDO NA EPOCA DA ADRIANA, REFERENTE AO PEDIDO 261186N
9,288545N,SEM OS,MIDEA,ENCERRADO,(004) 004539 - Cond. K7 38CCU036.515MC SPACE FRIO 220v Mono - Carrier,998219,36000,,,CONVERTIDO,DANIFICADOS,,CONVERTIDO NA EPOCA DA ADRIANA, REFERENTE AO PEDIDO 288545N
10,058211N,SEM OS,SAMSUNG,ENCERRADO,(003) 003703 - Não Usar Painel K7-4v PC4SUSMEN (Mini)- Samsung,998224,0,,,CONVERTIDO,DANIFICADOS,,CONVERTIDO NA EPOCA DA ADRIANA, REFERENTE AO PEDIDO 058211N
11,058220N,SEM OS,SAMSUNG,ENCERRADO,(003) 003544 - Painel K74v PC4SUSMB - MULTI - Samsung,998232,0,,,CONVERTIDO,DANIFICADOS,,CONVERTIDO NA EPOCA DA ADRIANA, REFERENTE AO PEDIDO 058211N
12,,SEM OS,SAMSUNG,,SEMI - Painel K71v (07~12) PC1NUSMAN,999910,,,,CONVERTIDO,SEMI,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
13,,SEM OS,SAMSUNG,,SEMI - Painel K71v (07~12) PC1NUSMAN,999910,,,,CONVERTIDO,SEMI,,PAINEIS MOLHADOS E CONVERTIDO EM DANIFICADOS SEM OS.. ADAILTON CIENTE
