PEDIDO,OS,FABRICANTE,STATUS,DESCRIÇÃO PRODUTO,COD,BTUS,NF FABRICANTE,LIQUIDAÇÃO,SETOR,FOTOS,DEFEITO,ALERTA
252856N,6370,SAMSUNG,ABERTO,(003) 003507 - Cond. AJ034NCJ5CH - MULTI - Q/F,003507,34000,,,DANIFICADOS,https://drive.google.com/drive/folders/18wh1NdHD7Mc7WvT6xJF2Ndkn1sAL0D6A?usp=drive_link,MERCADORIA INSTALADA E SEM EMBALAGEM ,
275442N,6446,SAMSUNG,ABERTO,(003) 003507 - Cond. AJ034NCJ5CH - MULTI - Q/F - Samsung,003507,34000,,,DANIFICADOS,https://drive.google.com/drive/folders/1aYr0nzEgOBOM2ZIAMV1AVfPXbyRYOCnH?usp=drive_link,MAQUINA INSTALADA (NÃO IDENTIFICADO O PROBLEMA),
317586N,6553,MIDEA,ABERTO,(004) 004440 - Cond. Teto 38CCVA60515MC Xpower Inverter FRIO 220V Mono - Carrier,004440,60000,,,DANIFICADOS,https://photos.app.goo.gl/JRNKC23mLTp3ofRk9,MAQUINA INSTALADA / ERRO DE SEPARAÇÃO,
315040N,6593,LG,ABERTO,(002) 002510 - Cond. A3UW24GFA3 - MULTI - Q/F - LG,002510,24000,aguardando envio fabric,,DANIFICADOS,SEM FOTO,,
306787N,6601,MIDEA,ABERTO,(004) 004374 - 40KWEX - Grelha K7 (60) - Carrier,004374,60000,AD,,DANIFICADOS,SEM FOTO,,
306787N,6602,MIDEA,ABERTO,(004) 004430 - Evap. K7 40KVQB60C5 - Carrier,004430,60000,AD,,DANIFICADOS,SEM FOTO,,
306787N,6603,MIDEA,ABERTO,(004) 004431 - Cond. K7 38CCVB60.515 FRIO 220v INVERTER - Carrier,004431,60000,AD,,DANIFICADOS,SEM FOTO,,
332695N,6607,MIDEA,ABERTO,(004) 004579 - Cond. Teto 38CCU060535MC Xperience FRIO 220V Trif. - Carrier,004579,60000,,,OUTROS,https://photos.app.goo.gl/jhEv5xRbpnf6XTN7A,MAQUINA APARENTA ESTAR NOVA (VERIFICAR COM DENILSON) NA OS INFORMA QUE O QUE CONSTA DANIFICADO É A EVAP,
349088N,6658,MIDEA,ABERTO,(004) 004415 - Cond. Teto 38CCVB60515MC Xpower Inverter FRIO 220V Mono,004415,60000,AD,,FABRICANTE,SEM FOTO,,
356515N,6672,DAIKIN,ABERTO,(005) 050464 - Controle Remoto S/ FIO BRC4C62-9 p/FXLQ- M /FXNQ-M /FXMQ-MA /FBQ - Daikin,050464,0,,,DANIFICADOS,https://photos.app.goo.gl/rcyHQoG3suWMH74w5,EMBALAGEM DANIFICADA,
363762N,6688,DAIKIN,ABERTO,(005) 005255 - Cond DT RZQ48AVL Sky Air - QF - Daikin,005255,48000,,,DANIFICADOS,https://photos.app.goo.gl/CB2mfYqgTyHBUJEj9,CARENAGEM AMASSADA,
